"Year","StateAbbr","StateDesc","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text","Geolocation"
"2022","NE","Nebraska","Butler","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","70.1",,,"65.6","74.6","8,427","6,421","31023","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-97.1317081186988 41.2259312239068)"
"2022","NE","Nebraska","Saunders","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","71.8",,,"67.1","75.8","23,118","17,404","31155","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-96.637269187497 41.2262451114661)"
"2022","NE","Nebraska","Buffalo","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","70.3",,,"66.3","74.3","50,586","39,327","31019","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-99.0753138152132 40.8549140546781)"
"2022","NV","Nevada","White Pine","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","68.2",,,"63.1","73.0","8,788","7,008","32033","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-114.901647765037 39.4423250003683)"
"2022","MT","Montana","Powder River","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","66.4",,,"61.6","71.3","1,725","1,429","30075","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-105.630011231967 45.3950397009562)"
"2022","MT","Montana","Phillips","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","68.7",,,"64.1","73.0","4,240","3,230","30071","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-107.913858929486 48.2595346646896)"
"2022","NM","New Mexico","Eddy","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","64.0",,,"59.2","68.6","60,400","44,538","35015","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-104.30411650348 32.4715227070044)"
"2022","NE","Nebraska","Franklin","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","70.6",,,"65.8","74.8","2,873","2,264","31061","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-98.952831971485 40.1763829630923)"
"2022","NM","New Mexico","Hidalgo","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","69.0",,,"64.2","73.6","4,003","3,120","35023","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-108.714784306827 31.914023667001)"
"2022","NE","Nebraska","Valley","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","75.5",,,"71.8","79.4","4,073","3,136","31175","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-98.9820851122081 41.5672346166775)"
"2022","NE","Nebraska","Lancaster","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","72.7",,,"69.4","75.8","324,756","252,856","31109","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-96.6877342192377 40.7841315891731)"
"2022","NJ","New Jersey","Ocean","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","74.1",,,"70.5","77.4","655,735","494,183","34029","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-74.2813321071752 39.8853077787669)"
"2022","NE","Nebraska","Douglas","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","74.6",,,"71.8","77.5","586,327","439,902","31055","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-96.1549052296409 41.2954415594743)"
"2022","NJ","New Jersey","Atlantic","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","78.5",,,"75.0","81.7","275,638","218,708","34001","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-74.6614046747052 39.4779411555213)"
"2022","NE","Nebraska","Keya Paha","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","71.3",,,"66.6","75.6","787","640","31103","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-99.7121324494875 42.8788332283108)"
"2022","NM","New Mexico","Los Alamos","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","67.0",,,"62.3","71.5","19,187","15,215","35028","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-106.306539429798 35.8686843512051)"
"2022","NH","New Hampshire","Belknap","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","70.2",,,"66.2","74.1","64,781","53,686","33001","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-71.4222926773562 43.5177681072851)"
"2022","NV","Nevada","Douglas","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","77.9",,,"74.1","81.4","49,628","42,229","32005","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-119.616132682878 38.9122785452806)"
"2022","NE","Nebraska","Blaine","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","70.3",,,"65.8","74.6","453","360","31009","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-99.9767855741633 41.9128133505015)"
"2022","NJ","New Jersey","Monmouth","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","71.3",,,"67.7","74.7","644,098","512,604","34025","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-74.2208638905563 40.2604596957946)"
