"Year","StateAbbr","StateDesc","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text","Geolocation"
"2021","MN","Minnesota","Yellow Medicine","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","69.6",,,"64.1","74.9","9,411","27173","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-95.862756 44.7157358)"
"2021","MN","Minnesota","Martin","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","71.1",,,"65.7","76.1","19,915","27091","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-94.5470963 43.6771732)"
"2021","OH","Ohio","Vinton","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","73.7",,,"68.7","78.5","12,696","39163","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-82.4859614 39.2520418)"
"2021","KS","Kansas","Labette","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","71.1",,,"66.4","75.6","19,912","20099","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-95.2974732 37.1914676)"
"2021","NE","Nebraska","Franklin","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","75",,,"70.1","79.4","2,903","31061","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-98.96208 40.1832031)"
"2021","IN","Indiana","Union","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","72.9",,,"66.9","77.9","7,047","18161","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-84.9251523 39.6231109)"
"2021","MO","Missouri","Ste. Genevieve","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","74.8",,,"69.9","79.3","18,588","29186","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-90.1615306 37.8858449)"
"2021","NM","New Mexico","Otero","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","65.5",,,"59.5","70.3","68,537","35035","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-105.7513079 32.6155988)"
"2021","NY","New York","Hamilton","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","79.5",,,"75.7","82.8","5,119","36041","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-74.5024556 43.6578786)"
"2021","IN","Indiana","Monroe","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","74.1",,,"69.7","78.1","139,875","18105","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-86.52331 39.1607286)"
