"Year","StateAbbr","StateDesc","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text","Geolocation"
"2023","WI","Wisconsin","Buffalo","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","74.6",,,"70.4","78.3","13,419","10,742","55011","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-91.7543796736571 44.3797906115145)"
"2023","WV","West Virginia","Cabell","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","80.7",,,"77.4","83.9","92,082","73,859","54011","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-82.2415597718845 38.4203751697343)"
"2023","WV","West Virginia","Raleigh","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","81.9",,,"78.5","84.9","72,356","57,230","54081","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-81.2481375065092 37.771281087791)"
"2023","WV","West Virginia","Mason","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","81.5",,,"78.2","84.6","24,765","19,716","54053","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-82.0265180831264 38.7697766470729)"
"2023","WI","Wisconsin","Lincoln","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","74.5",,,"70.7","78.0","28,405","23,357","55069","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-89.7344763397969 45.3374904822118)"
"2023","WI","Wisconsin","La Crosse","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","78.5",,,"74.8","81.7","120,486","97,393","55063","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-91.115031156818 43.9064334776905)"
"2023","WI","Wisconsin","Price","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","80.8",,,"77.6","83.7","14,102","11,739","55099","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-90.3614824634713 45.680136950248)"
"2023","WA","Washington","Pierce","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","70.4",,,"68.0","72.8","928,696","716,813","53053","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-122.1116191332 47.026713492138)"
"2023","WA","Washington","Skagit","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","71.1",,,"67.8","74.4","131,417","104,403","53057","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-121.732333093831 48.4795962795731)"
"2023","WV","West Virginia","Tyler","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","82.2",,,"78.7","85.4","7,919","6,382","54095","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-80.8850799013999 39.465890011048)"
"2023","WI","Wisconsin","Chippewa","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","76.0",,,"72.6","79.3","66,970","52,829","55017","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-91.2799726300936 45.0694319590576)"
"2023","WA","Washington","Wahkiakum","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","75.5",,,"72.1","78.9","4,765","3,987","53069","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-123.424936104773 46.2921200927637)"
"2023","WI","Wisconsin","Marathon","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","74.2",,,"70.8","77.4","138,612","107,632","55073","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-89.7588560093353 44.8983004431375)"
